Time,P1,P2,P3,P4,S1,S2,S3
2517072,0,1,0,0,0,0,56
2517328,0,1,0,0,0,0,134
2517625,0,1,0,0,0,31,0
2517899,1,0,0,1,136,31,0
2518179,1,0,0,1,0,0,0
2518459,1,0,0,0,0,0,0
2518724,1,0,1,0,0,0,0
2518989,0,0,1,0,0,0,0
2519253,0,0,1,0,0,0,0
2519533,0,0,0,0,0,0,0
2519798,0,0,0,0,0,0,0
2520078,0,0,0,0,0,0,0
2520358,0,0,0,0,0,0,0
2520638,0,0,0,0,0,0,0
2520918,0,1,0,1,0,0,0
2521198,0,1,0,1,0,0,0
2521463,0,1,0,1,0,0,0
2521742,1,0,0,1,0,0,0
2522007,1,0,0,0,0,0,0
2522269,0,0,0,0,0,0,41
2522548,0,0,1,0,0,0,0
2522824,0,0,1,0,97,30,0
2523098,0,0,1,0,128,31,0
2523365,0,0,1,0,0,30,0
2523622,0,0,0,0,133,0,0
2523902,0,0,0,0,0,0,0
2524182,0,0,0,0,0,0,0
2524447,0,1,0,0,0,0,0
2524727,0,1,0,0,0,0,0
2524992,0,0,0,0,0,0,0
2525256,0,0,0,1,0,0,0
2525521,0,0,0,1,0,0,0
2525785,1,0,0,1,0,0,0
2526064,1,0,0,0,0,0,0
2526329,1,0,1,0,0,0,0
2526608,1,0,1,0,0,0,0
2526873,1,0,1,0,0,0,0
2527153,0,0,1,0,0,0,0
2527433,0,1,1,0,0,0,0
2527706,0,1,1,0,159,32,0
2527979,0,0,1,0,148,31,0
2528244,0,0,1,0,0,0,0
2528509,0,0,0,0,0,0,0
2528788,0,0,0,0,0,0,0
2529068,0,0,0,0,0,0,0
2529333,0,0,0,0,0,0,0
2529598,0,0,0,0,0,0,0
2529877,0,0,0,0,0,0,0
2530157,1,0,0,0,0,0,0
2530437,1,0,0,1,0,0,0
2530717,1,0,1,1,0,0,0
2530982,0,0,1,1,0,0,0
2531247,0,1,1,1,0,0,0
2531511,0,1,1,1,0,0,0
2531775,0,1,1,1,0,0,0
2532040,0,0,1,1,0,0,0
2532304,0,0,0,0,0,0,0
2532584,0,0,0,0,0,0,0
2532857,0,0,0,0,120,0,0
2533112,0,0,0,0,0,119,62
2533385,1,0,0,0,140,31,0
2533650,1,0,0,0,0,0,0
2533930,1,0,0,0,0,0,0
2534195,1,1,0,0,0,0,0
2534459,1,1,0,1,0,0,0
2534739,0,1,0,1,0,0,0
2535019,0,0,1,1,0,0,0
2535299,0,0,1,1,0,0,0
2535564,0,0,1,1,0,0,0
2535829,0,0,1,1,0,0,0
2536109,0,0,1,1,0,0,0
2536389,0,0,0,0,0,0,0
2536669,0,0,0,0,0,0,0
2536949,0,0,0,0,0,0,0
2537214,1,0,0,0,0,0,0
2537478,1,1,0,0,144,124,0
2537752,1,1,0,0,139,34,0
2538004,1,0,0,0,133,31,119
2538284,0,0,0,0,0,0,0
2538558,0,0,0,0,106,0,0
2538838,0,0,0,0,0,0,0
2539103,0,0,0,0,0,0,0
2539368,0,0,1,0,0,0,0
2539633,0,0,1,1,0,0,0
2539898,0,0,1,1,0,0,0
2540178,0,1,0,1,0,0,0
2540443,0,1,0,0,0,0,0
2540707,0,1,0,0,0,0,0
2540971,0,0,0,0,0,0,0
2541250,0,0,0,0,0,0,0
2541530,1,0,0,0,0,0,0
2541804,1,0,0,0,104,0,0
2542078,1,0,0,0,97,0,0
2542346,1,0,0,0,95,100,0
2542610,1,0,0,0,0,33,47
2542890,0,0,1,1,0,0,0
2543170,0,0,1,1,0,0,0
2543450,0,1,1,0,0,0,0
2543730,0,1,1,0,0,0,0
2544010,0,1,0,0,0,0,0
2544290,0,1,0,0,0,0,0
2544570,0,1,0,0,0,0,0
2544850,0,1,0,0,0,0,0
2545130,1,1,0,0,0,0,0
2545410,1,0,0,0,0,0,0
2545690,1,0,0,0,0,0,0
2545955,1,0,0,1,0,0,0
2546235,1,0,0,1,0,0,0
2546515,1,0,1,1,0,0,0
2546777,1,0,1,1,0,0,51
2547024,1,0,1,1,138,114,61
2547298,1,0,1,1,121,31,0
2547571,1,0,1,1,112,0,0
2547851,1,0,1,1,0,0,0
2548131,1,0,0,0,0,0,0
2548411,1,1,0,0,0,0,0
2548691,0,1,0,0,0,0,0
2548971,0,1,0,0,0,0,0
2549251,0,1,0,0,0,0,0
2549531,0,1,0,0,0,0,0
2549796,0,1,0,0,0,0,0
2550061,0,0,0,0,0,0,0
2550326,0,0,0,0,0,0,0
2550590,0,0,0,1,0,0,0
2550855,0,0,1,1,0,0,0
2551135,0,0,1,1,0,0,0
