5Time,P1,P2,P3,P4,S1,S2,S3
160123,0,0,0,0,0,0,51
160390,0,0,1,0,0,0,43
160656,0,0,1,0,0,0,44
160922,1,0,0,0,0,0,43
161186,1,0,0,1,0,0,13
161452,1,0,0,1,0,0,43
161718,0,0,0,1,0,0,43
161982,0,0,0,0,0,0,13
162248,0,0,0,0,0,0,43
162514,0,1,0,0,0,0,43
162780,0,1,0,0,0,0,43
163046,0,1,0,0,0,0,44
163312,0,0,0,0,0,0,43
163578,0,0,1,0,0,0,44
163844,1,0,1,0,0,0,44
164110,1,0,1,0,0,0,44
164376,1,0,0,0,0,0,43
164642,1,0,0,0,0,0,43
164908,0,0,0,0,0,0,43
165174,0,0,0,1,0,0,45
165440,0,0,0,1,0,0,43
165706,0,1,0,1,0,0,43
165972,0,1,0,0,0,0,43
166238,0,1,0,0,0,0,45
166504,0,1,0,0,0,0,43
166770,0,1,1,0,0,0,44
167036,0,0,1,0,0,0,42
167302,1,0,0,0,0,0,43
167568,1,0,0,0,0,0,44
167834,0,0,0,0,0,0,44
168100,0,0,0,0,0,0,43
168366,0,0,0,0,0,0,43
168632,0,0,0,1,0,0,43
168898,0,0,0,1,0,0,43
169164,0,0,0,1,0,0,43
169430,0,1,1,0,0,0,53
169697,0,1,1,0,0,0,44
169963,0,0,1,0,0,0,43
170229,1,0,0,0,0,0,42
170495,1,0,0,0,0,0,43
170761,1,0,0,0,0,0,44
171027,0,0,0,0,0,0,44
171293,0,0,0,0,0,0,43
171559,0,0,0,0,0,0,44
171825,0,0,0,1,0,0,43
172091,0,1,0,1,0,0,44
172357,0,1,0,1,0,0,44
172623,0,1,0,0,0,0,44
172889,0,0,1,0,0,0,45
173155,0,0,1,0,0,0,43
173421,0,0,0,0,0,0,43
173687,0,0,0,0,0,0,44
173951,0,0,0,0,0,0,12
174217,0,0,0,0,0,0,45
174484,0,0,0,0,0,0,43
174750,1,0,0,0,0,0,44
175016,1,0,0,0,0,0,43
175282,1,0,0,0,0,0,50
175549,1,0,0,0,0,0,43
175815,1,0,0,0,0,0,53
176082,0,0,0,0,0,0,43
176348,0,0,0,0,0,0,43
176614,0,0,1,1,0,0,43
176880,0,0,1,1,0,0,43
177146,0,0,0,1,0,0,44
177412,0,0,0,1,0,0,43
177678,0,0,0,1,0,0,43
177944,0,0,0,1,0,0,44
178210,0,0,0,1,0,0,44
178476,0,1,0,0,0,0,43
178742,1,1,0,0,0,0,44
179008,1,1,0,0,0,0,43
179274,1,0,0,0,0,0,47
179540,0,0,1,0,0,0,44
179806,0,0,1,0,0,0,43
180072,0,0,0,0,0,0,43
180338,0,0,0,0,0,0,43
180604,0,0,0,0,0,0,43
180870,0,0,0,0,0,0,44
181136,0,0,0,0,0,0,43
181402,0,0,0,0,0,0,44
181668,0,0,0,1,0,0,44
181934,1,0,0,1,0,0,43
182201,1,0,0,1,0,0,43
182467,1,0,0,1,0,0,43
182731,0,1,0,0,0,0,13
182997,0,1,0,0,0,0,43
183263,0,1,0,0,0,0,43
183529,0,1,1,0,0,0,43
183795,0,0,1,0,0,0,44
184061,0,0,0,0,0,0,43
184327,0,0,0,0,0,0,44
184593,0,0,0,0,0,0,44
184859,0,0,0,0,0,0,43
185125,1,0,0,1,0,0,46
185391,1,0,0,1,0,0,45
185657,1,0,0,1,0,0,45
185923,1,0,0,0,0,0,42
186189,1,0,0,0,0,0,43
186455,0,0,0,0,0,0,43
186721,0,1,0,0,0,0,43
186987,0,1,1,0,0,0,43
187253,0,1,1,0,0,0,43
187519,0,1,1,0,0,0,43
187785,0,0,1,0,0,0,43
188051,0,0,0,0,0,0,43
188317,0,0,0,1,0,0,43
188583,1,0,0,1,0,0,42
188849,1,0,0,1,0,0,45
189115,1,0,0,1,0,0,43
189381,1,0,0,1,0,0,43
189647,1,0,0,0,0,0,43
189913,0,0,0,0,0,0,43
190179,0,0,0,0,0,0,43
190445,0,0,0,0,0,0,43
190711,0,0,0,0,0,0,43
190977,0,1,0,0,0,0,43
191243,0,1,0,0,0,0,44
191509,0,1,0,0,0,0,45
191775,0,0,0,0,0,0,43
192041,0,0,0,0,0,0,43
192307,0,0,0,0,0,0,43
192573,0,0,0,0,0,0,43
192839,1,0,1,1,0,0,43
193105,1,0,1,1,0,0,46
193371,1,0,1,1,0,0,44
193637,1,0,1,0,0,0,43
193903,0,0,1,0,0,0,43
194169,0,1,1,0,0,0,43
194435,0,1,1,0,0,0,45
194701,0,0,1,0,0,0,43
194967,0,0,1,0,0,0,43
195233,0,0,0,0,0,0,43
195499,0,0,0,0,0,0,44
195765,0,0,0,1,0,0,42
196031,1,0,0,1,0,0,43
196297,1,0,0,1,0,0,43
196563,0,0,0,0,0,0,53
196830,0,0,0,0,0,0,44
197096,0,1,0,0,0,0,43
197362,0,1,1,0,0,0,43
197628,0,1,1,0,0,0,42
197894,0,0,1,0,0,0,43
198160,0,0,1,0,0,0,44
198426,0,0,0,0,0,0,43
198692,0,0,0,0,0,0,43
198958,0,0,0,0,0,0,43
199224,1,0,0,0,0,0,46
199488,1,0,0,0,0,0,12
199755,1,0,0,0,0,0,43
200021,1,0,0,0,0,0,44
200287,0,0,0,0,0,0,43
200553,0,0,0,1,0,0,43
200819,0,0,0,1,0,0,43
201085,0,0,1,0,0,0,42
201351,0,0,1,0,0,0,44
201617,0,0,1,0,0,0,43
201883,0,1,0,0,0,0,43
202150,0,1,0,0,0,0,59
202416,1,1,0,0,0,0,43
202682,1,1,0,0,0,0,43
202948,1,0,0,0,0,0,43
203214,1,0,0,0,0,0,44
203480,1,0,0,0,0,0,43
203746,0,0,0,1,0,0,44
204012,0,0,1,1,0,0,43
204278,0,0,1,1,0,0,43
204544,0,0,1,1,0,0,43
204810,0,0,1,1,0,0,43
205076,0,0,1,1,0,0,42
205342,0,0,0,1,0,0,44
205608,0,1,0,1,0,0,43
205875,0,1,0,0,0,0,43
206141,0,1,0,0,0,0,42
206407,0,1,0,0,0,0,46
