TS(ms): 885427 | PIR: 0,0,0,0 | US(cm): 205,210,214 | Delta(cm): 0,0,0
TS(ms): 885691 | PIR: 0,0,0,0 | US(cm): 207,211,214 | Delta(cm): 0,0,0
TS(ms): 885955 | PIR: 0,0,0,0 | US(cm): 206,209,215 | Delta(cm): 0,0,0
TS(ms): 886220 | PIR: 0,0,0,0 | US(cm): 206,210,216 | Delta(cm): 0,0,0
TS(ms): 886485 | PIR: 0,1,0,0 | US(cm): 207,209,213 | Delta(cm): 0,0,0
TS(ms): 886749 | PIR: 0,1,0,0 | US(cm): 205,210,219 | Delta(cm): 0,0,0
TS(ms): 887029 | PIR: 0,0,0,0 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 887309 | PIR: 0,0,0,1 | US(cm): 208,209,-1 | Delta(cm): 0,0,0
TS(ms): 887589 | PIR: 0,0,0,1 | US(cm): 207,211,-1 | Delta(cm): 0,0,0
TS(ms): 887873 | PIR: 1,0,1,1 | US(cm): 8,-1,-1 | Delta(cm): 199,0,0
TS(ms): 888138 | PIR: 1,0,1,1 | US(cm): 202,208,213 | Delta(cm): 0,0,0
TS(ms): 888417 | PIR: 0,0,1,1 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 888697 | PIR: 0,0,0,1 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 888977 | PIR: 0,0,0,0 | US(cm): 206,210,-1 | Delta(cm): 0,0,0
TS(ms): 889257 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 889537 | PIR: 0,0,0,0 | US(cm): 205,217,-1 | Delta(cm): 0,0,0
TS(ms): 889817 | PIR: 0,0,0,0 | US(cm): 206,209,-1 | Delta(cm): 0,0,0
TS(ms): 890097 | PIR: 0,0,0,0 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 890377 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
