TS(ms): 430648 | PIR: 0,0,1,0 | US(cm): 155,214,203 | Delta(cm): 54,0,0
TS(ms): 430915 | PIR: 0,0,1,0 | US(cm): 211,210,245 | Delta(cm): 0,0,42
TS(ms): 431181 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 431447 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 431713 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 431979 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 432243 | PIR: 0,0,0,1 | US(cm): 209,211,215 | Delta(cm): 0,0,12
TS(ms): 432510 | PIR: 1,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 432776 | PIR: 1,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 433042 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 433308 | PIR: 0,1,0,0 | US(cm): 209,216,252 | Delta(cm): 0,0,49
TS(ms): 433575 | PIR: 0,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 433841 | PIR: 0,1,1,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 434107 | PIR: 0,1,1,0 | US(cm): 210,211,248 | Delta(cm): 0,0,45
TS(ms): 434372 | PIR: 0,1,0,0 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 434635 | PIR: 0,0,0,0 | US(cm): 153,210,245 | Delta(cm): 56,0,42
TS(ms): 434899 | PIR: 0,0,0,0 | US(cm): 137,245,246 | Delta(cm): 72,34,43
TS(ms): 435179 | PIR: 0,0,0,1 | US(cm): -1,244,198 | Delta(cm): 0,33,0
TS(ms): 435444 | PIR: 1,0,0,1 | US(cm): 209,211,212 | Delta(cm): 0,0,0
TS(ms): 435710 | PIR: 1,0,0,1 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 435974 | PIR: 1,0,0,1 | US(cm): 210,212,217 | Delta(cm): 0,0,14
TS(ms): 436241 | PIR: 1,0,0,1 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 436507 | PIR: 0,0,0,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 436773 | PIR: 0,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 437039 | PIR: 0,0,0,0 | US(cm): 210,217,246 | Delta(cm): 0,0,43
TS(ms): 437305 | PIR: 0,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 437571 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 437837 | PIR: 0,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 438103 | PIR: 0,1,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 438370 | PIR: 0,1,1,0 | US(cm): 209,211,260 | Delta(cm): 0,0,57
TS(ms): 438636 | PIR: 0,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 438902 | PIR: 1,0,0,0 | US(cm): 209,211,252 | Delta(cm): 0,0,49
TS(ms): 439167 | PIR: 1,0,0,0 | US(cm): 209,210,212 | Delta(cm): 0,0,0
TS(ms): 439431 | PIR: 1,0,0,1 | US(cm): 139,243,252 | Delta(cm): 70,32,49
TS(ms): 439709 | PIR: 0,0,0,1 | US(cm): 147,243,-1 | Delta(cm): 62,32,0
TS(ms): 439971 | PIR: 0,0,0,1 | US(cm): 149,211,211 | Delta(cm): 60,0,0
TS(ms): 440232 | PIR: 0,0,0,1 | US(cm): 156,210,214 | Delta(cm): 53,0,11
TS(ms): 440499 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 440765 | PIR: 0,0,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 441032 | PIR: 0,0,0,0 | US(cm): 209,217,262 | Delta(cm): 0,0,59
TS(ms): 441311 | PIR: 0,0,0,0 | US(cm): 210,210,-1 | Delta(cm): 0,0,0
TS(ms): 441578 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 441845 | PIR: 0,0,0,0 | US(cm): 210,217,261 | Delta(cm): 0,0,58
TS(ms): 442112 | PIR: 0,0,0,0 | US(cm): 210,211,261 | Delta(cm): 0,0,58
TS(ms): 442378 | PIR: 1,0,1,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 442644 | PIR: 1,1,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 442910 | PIR: 0,1,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 443176 | PIR: 0,0,0,0 | US(cm): 209,211,244 | Delta(cm): 0,0,41
TS(ms): 443439 | PIR: 0,0,0,0 | US(cm): 209,211,205 | Delta(cm): 0,0,0
TS(ms): 443702 | PIR: 0,0,0,1 | US(cm): 154,243,203 | Delta(cm): 55,32,0
TS(ms): 443999 | PIR: 0,0,0,1 | US(cm): -1,243,-1 | Delta(cm): 0,32,0
TS(ms): 444266 | PIR: 0,0,0,1 | US(cm): 211,210,251 | Delta(cm): 0,0,48
TS(ms): 444533 | PIR: 0,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 444799 | PIR: 0,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 445066 | PIR: 0,0,0,1 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 445333 | PIR: 0,0,0,1 | US(cm): 209,211,258 | Delta(cm): 0,0,55
TS(ms): 445599 | PIR: 1,0,0,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 445866 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 446132 | PIR: 1,0,0,0 | US(cm): 209,212,245 | Delta(cm): 0,0,42
TS(ms): 446399 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 446666 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 446933 | PIR: 0,1,1,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 447199 | PIR: 0,1,0,0 | US(cm): 210,217,246 | Delta(cm): 0,0,43
TS(ms): 447463 | PIR: 0,1,0,0 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 447729 | PIR: 0,1,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 447996 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 448262 | PIR: 0,0,0,1 | US(cm): 151,243,248 | Delta(cm): 58,32,45
TS(ms): 448529 | PIR: 0,0,0,1 | US(cm): 226,244,219 | Delta(cm): 17,33,16
TS(ms): 448794 | PIR: 0,0,0,1 | US(cm): 208,210,214 | Delta(cm): 0,0,11
TS(ms): 449056 | PIR: 0,0,0,1 | US(cm): 157,218,216 | Delta(cm): 52,0,13
TS(ms): 449323 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 449589 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 449855 | PIR: 1,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 450121 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 450387 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 450653 | PIR: 0,0,1,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 450920 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 451186 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 451452 | PIR: 0,1,1,0 | US(cm): 209,214,249 | Delta(cm): 0,0,46
TS(ms): 451718 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 451997 | PIR: 0,0,0,0 | US(cm): 210,212,-1 | Delta(cm): 0,0,0
TS(ms): 452262 | PIR: 0,0,0,1 | US(cm): 210,211,211 | Delta(cm): 0,0,0
TS(ms): 452523 | PIR: 0,0,0,1 | US(cm): 139,245,198 | Delta(cm): 70,34,0
TS(ms): 452784 | PIR: 1,0,0,1 | US(cm): 153,244,155 | Delta(cm): 56,33,48
TS(ms): 453050 | PIR: 1,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 453316 | PIR: 1,0,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 453580 | PIR: 1,0,0,0 | US(cm): 210,213,213 | Delta(cm): 0,0,0
TS(ms): 453846 | PIR: 1,0,1,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 454112 | PIR: 0,0,1,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
