TS(ms): 104466 | PIR: 1,0,1,0 | US(cm): 208,210,246 | Delta(cm): 0,0,44
TS(ms): 104733 | PIR: 0,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,45
TS(ms): 104999 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 105265 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 105531 | PIR: 0,0,0,0 | US(cm): 209,211,244 | Delta(cm): 0,0,42
TS(ms): 105797 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 106063 | PIR: 0,1,0,0 | US(cm): 209,214,246 | Delta(cm): 0,0,44
TS(ms): 106329 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 106595 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 106861 | PIR: 0,0,0,1 | US(cm): 208,210,245 | Delta(cm): 0,0,43
TS(ms): 107127 | PIR: 0,0,0,1 | US(cm): 210,217,245 | Delta(cm): 0,0,43
TS(ms): 107393 | PIR: 0,0,1,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 107659 | PIR: 0,0,1,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 107925 | PIR: 1,0,1,1 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 108191 | PIR: 1,0,1,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 108457 | PIR: 1,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 108723 | PIR: 1,0,0,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 108989 | PIR: 1,0,0,0 | US(cm): 210,212,245 | Delta(cm): 0,0,43
TS(ms): 109255 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 109521 | PIR: 0,0,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,45
TS(ms): 109787 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 110053 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 110319 | PIR: 0,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 110585 | PIR: 0,0,1,0 | US(cm): 209,211,255 | Delta(cm): 0,0,53
TS(ms): 110852 | PIR: 0,1,1,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 111118 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 111384 | PIR: 0,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 111650 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 111916 | PIR: 1,0,0,0 | US(cm): 208,212,247 | Delta(cm): 0,0,45
TS(ms): 112183 | PIR: 1,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 112449 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 112715 | PIR: 0,0,0,0 | US(cm): 209,214,245 | Delta(cm): 0,0,43
TS(ms): 112981 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 113248 | PIR: 0,0,0,0 | US(cm): 210,211,260 | Delta(cm): 0,0,58
TS(ms): 113514 | PIR: 0,0,0,1 | US(cm): 210,210,247 | Delta(cm): 0,0,45
TS(ms): 113780 | PIR: 0,0,0,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 114046 | PIR: 0,0,0,1 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 114312 | PIR: 0,0,0,1 | US(cm): 209,212,245 | Delta(cm): 0,0,43
TS(ms): 114576 | PIR: 0,0,0,0 | US(cm): 209,212,214 | Delta(cm): 0,0,12
TS(ms): 114843 | PIR: 0,1,0,0 | US(cm): 209,216,245 | Delta(cm): 0,0,43
TS(ms): 115109 | PIR: 0,1,0,0 | US(cm): 209,211,244 | Delta(cm): 0,0,42
TS(ms): 115375 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 115641 | PIR: 1,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 115907 | PIR: 1,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,45
TS(ms): 116173 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 116439 | PIR: 1,0,1,0 | US(cm): 208,211,246 | Delta(cm): 0,0,44
TS(ms): 116705 | PIR: 1,0,1,1 | US(cm): 211,211,246 | Delta(cm): 0,0,44
TS(ms): 116971 | PIR: 1,0,1,1 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 117237 | PIR: 1,0,0,1 | US(cm): 211,211,244 | Delta(cm): 0,0,42
TS(ms): 117503 | PIR: 1,0,0,1 | US(cm): 209,216,245 | Delta(cm): 0,0,43
TS(ms): 117769 | PIR: 1,0,0,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 118035 | PIR: 1,0,0,1 | US(cm): 209,210,245 | Delta(cm): 0,0,43
TS(ms): 118301 | PIR: 0,1,0,1 | US(cm): 210,217,245 | Delta(cm): 0,0,43
TS(ms): 118567 | PIR: 0,1,0,1 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 118833 | PIR: 0,0,0,1 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 119099 | PIR: 0,0,0,1 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 119365 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 119631 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 119897 | PIR: 0,0,1,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 120163 | PIR: 0,0,1,0 | US(cm): 211,211,246 | Delta(cm): 0,0,44
TS(ms): 120429 | PIR: 0,0,1,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 120695 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,43
TS(ms): 120961 | PIR: 1,0,0,0 | US(cm): 209,212,257 | Delta(cm): 0,0,55
TS(ms): 121228 | PIR: 1,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 121494 | PIR: 0,1,0,0 | US(cm): 210,210,245 | Delta(cm): 0,0,43
TS(ms): 121760 | PIR: 0,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,44
TS(ms): 122026 | PIR: 0,0,0,0 | US(cm): 211,211,245 | Delta(cm): 0,0,43
TS(ms): 122292 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
TS(ms): 122558 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 122824 | PIR: 0,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 123090 | PIR: 0,0,1,1 | US(cm): 209,211,244 | Delta(cm): 0,0,42
TS(ms): 123356 | PIR: 0,0,0,1 | US(cm): 209,216,246 | Delta(cm): 0,0,44
TS(ms): 123622 | PIR: 0,0,0,0 | US(cm): 209,212,245 | Delta(cm): 0,0,43
TS(ms): 123888 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,43
