TS(ms): 45543 | PIR: 0,1,0,0 | US(cm): 210,217,245 | Delta(cm): 0,0,42
TS(ms): 45809 | PIR: 0,1,0,0 | US(cm): 209,217,246 | Delta(cm): 0,0,43
TS(ms): 46075 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 46341 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 46605 | PIR: 0,0,0,1 | US(cm): 211,211,217 | Delta(cm): 0,0,14
TS(ms): 46868 | PIR: 0,0,0,1 | US(cm): 174,211,212 | Delta(cm): 35,0,0
TS(ms): 47132 | PIR: 1,0,0,0 | US(cm): 210,211,212 | Delta(cm): 0,0,0
TS(ms): 47408 | PIR: 1,0,0,0 | US(cm): 158,211,-1 | Delta(cm): 51,0,0
TS(ms): 47671 | PIR: 1,0,1,0 | US(cm): 142,242,216 | Delta(cm): 67,31,13
TS(ms): 47955 | PIR: 0,0,1,0 | US(cm): -1,243,245 | Delta(cm): 0,32,42
TS(ms): 48214 | PIR: 0,1,1,0 | US(cm): 148,211,200 | Delta(cm): 61,0,0
TS(ms): 48481 | PIR: 0,1,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 48747 | PIR: 0,1,0,0 | US(cm): 210,217,245 | Delta(cm): 0,0,42
TS(ms): 49013 | PIR: 0,1,0,0 | US(cm): 210,210,245 | Delta(cm): 0,0,42
TS(ms): 49279 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 49545 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 49811 | PIR: 0,0,0,0 | US(cm): 209,210,251 | Delta(cm): 0,0,48
TS(ms): 50078 | PIR: 0,0,0,0 | US(cm): 209,210,245 | Delta(cm): 0,0,42
TS(ms): 50344 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 50610 | PIR: 0,0,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 50876 | PIR: 1,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 51142 | PIR: 1,0,1,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 51406 | PIR: 1,0,0,1 | US(cm): 209,212,213 | Delta(cm): 0,0,0
TS(ms): 51672 | PIR: 0,0,0,1 | US(cm): 210,212,247 | Delta(cm): 0,0,44
TS(ms): 51938 | PIR: 0,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 52200 | PIR: 0,0,0,0 | US(cm): 157,243,204 | Delta(cm): 52,32,0
TS(ms): 52497 | PIR: 0,0,0,0 | US(cm): -1,243,-1 | Delta(cm): 0,32,0
TS(ms): 52759 | PIR: 0,0,0,0 | US(cm): 149,212,208 | Delta(cm): 60,0,0
TS(ms): 53025 | PIR: 0,1,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 53289 | PIR: 0,1,0,0 | US(cm): 209,210,211 | Delta(cm): 0,0,0
TS(ms): 53555 | PIR: 0,1,1,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 53821 | PIR: 0,1,1,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 54087 | PIR: 0,0,1,0 | US(cm): 209,243,214 | Delta(cm): 0,32,11
TS(ms): 54353 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 54619 | PIR: 1,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 54885 | PIR: 1,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 55151 | PIR: 0,0,0,1 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 55417 | PIR: 0,0,0,1 | US(cm): 209,212,247 | Delta(cm): 0,0,44
TS(ms): 55683 | PIR: 0,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 55949 | PIR: 0,0,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 56213 | PIR: 0,0,0,0 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 56477 | PIR: 0,0,0,0 | US(cm): 167,211,246 | Delta(cm): 42,0,43
TS(ms): 56751 | PIR: 0,1,1,0 | US(cm): 151,168,-1 | Delta(cm): 58,43,0
TS(ms): 57017 | PIR: 0,1,1,0 | US(cm): 154,243,247 | Delta(cm): 55,32,44
TS(ms): 57298 | PIR: 1,1,1,0 | US(cm): -1,243,212 | Delta(cm): 0,32,0
TS(ms): 57562 | PIR: 1,1,0,0 | US(cm): 209,210,213 | Delta(cm): 0,0,0
TS(ms): 57826 | PIR: 1,1,0,0 | US(cm): 209,217,214 | Delta(cm): 0,0,11
TS(ms): 58092 | PIR: 1,1,0,0 | US(cm): 209,216,246 | Delta(cm): 0,0,43
TS(ms): 58358 | PIR: 1,1,0,1 | US(cm): 209,217,246 | Delta(cm): 0,0,43
TS(ms): 58624 | PIR: 0,0,0,1 | US(cm): 209,217,245 | Delta(cm): 0,0,42
TS(ms): 58890 | PIR: 0,0,0,1 | US(cm): 209,210,245 | Delta(cm): 0,0,42
